<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.01	23:00:00	4328.321	4335.378	4327.659	4330.888	1340	0	160
2026.01.01	23:15:00	4330.922	4342.685	4328.324	4341.252	2558	0	160
2026.01.01	23:30:00	4341.299	4345.500	4338.980	4345.390	1550	0	160
2026.01.01	23:45:00	4345.419	4351.549	4341.807	4348.325	2738	0	160
2026.01.02	00:00:00	4348.358	4353.298	4344.492	4348.007	2915	0	160
2026.01.02	00:15:00	4347.940	4349.365	4341.303	4347.187	2822	0	160
2026.01.02	00:30:00	4347.194	4350.865	4346.638	4349.590	2765	0	160
2026.01.02	00:45:00	4349.630	4356.206	4349.630	4354.191	2884	0	160
2026.01.02	01:00:00	4354.197	4356.159	4345.148	4346.597	4104	0	160
2026.01.02	01:15:00	4346.632	4349.862	4344.606	4349.180	3531	0	160
2026.01.02	01:30:00	4349.144	4351.555	4345.634	4346.774	3148	0	160
2026.01.02	01:45:00	4346.726	4354.447	4346.024	4348.030	3128	0	160
2026.01.02	02:00:00	4348.002	4351.993	4345.568	4346.988	2456	0	160
2026.01.02	02:15:00	4346.931	4348.387	4344.825	4347.730	3195	0	160
2026.01.02	02:30:00	4347.736	4353.424	4345.719	4351.512	3454	0	160
2026.01.02	02:45:00	4351.474	4363.176	4351.162	4362.798	3277	0	160
2026.01.02	03:00:00	4362.763	4371.855	4362.077	4368.952	2883	0	160
2026.01.02	03:15:00	4368.994	4370.820	4365.519	4369.020	2855	0	160
2026.01.02	03:30:00	4369.100	4374.851	4367.889	4373.781	3186	0	160
2026.01.02	03:45:00	4373.745	4375.846	4372.168	4375.173	2920	0	160
2026.01.02	04:00:00	4375.130	4378.641	4373.974	4374.913	3121	0	160
2026.01.02	04:15:00	4374.794	4375.827	4371.452	4373.641	2897	0	160
2026.01.02	04:30:00	4373.633	4375.526	4371.511	4375.387	2481	0	160
2026.01.02	04:45:00	4375.351	4375.802	4371.328	4373.267	2042	0	160
2026.01.02	05:00:00	4373.294	4380.201	4370.946	4377.841	2880	0	160
2026.01.02	05:15:00	4377.795	4380.237	4375.247	4378.565	2860	0	160
2026.01.02	05:30:00	4378.454	4379.872	4377.805	4378.689	1978	0	160
2026.01.02	05:45:00	4378.731	4381.760	4378.401	4380.664	1883	0	160
2026.01.02	06:00:00	4380.656	4381.073	4373.894	4375.036	2411	0	160
2026.01.02	06:15:00	4375.102	4379.969	4373.526	4379.727	2913	0	160
2026.01.02	06:30:00	4379.737	4379.814	4374.409	4374.517	1895	0	160
2026.01.02	06:45:00	4374.499	4376.344	4373.382	4374.795	2551	0	160
2026.01.02	07:00:00	4374.758	4378.125	4372.331	4377.044	3156	0	160
2026.01.02	07:15:00	4377.019	4377.555	4371.949	4373.857	2651	0	160
2026.01.02	07:30:00	4373.750	4380.657	4372.193	4375.740	2820	0	160
2026.01.02	07:45:00	4375.771	4383.362	4375.263	4382.800	2439	0	160
2026.01.02	08:00:00	4382.763	4386.613	4380.479	4385.084	2732	0	160
2026.01.02	08:15:00	4385.059	4385.888	4381.688	4385.357	2265	0	160
2026.01.02	08:30:00	4385.359	4390.566	4384.196	4390.447	2582	0	160
2026.01.02	08:45:00	4390.437	4397.619	4386.903	4387.120	3512	0	160
2026.01.02	09:00:00	4387.083	4391.151	4386.268	4390.126	3183	0	160
2026.01.02	09:15:00	4390.163	4391.700	4383.334	4388.775	3044	0	160
2026.01.02	09:30:00	4388.765	4389.892	4386.726	4388.746	2135	0	160
2026.01.02	09:45:00	4388.750	4389.550	4385.009	4385.635	2013	0	160
2026.01.02	10:00:00	4385.660	4388.531	4384.555	4388.186	2289	0	160
2026.01.02	10:15:00	4388.188	4390.228	4385.667	4386.508	2429	0	160
2026.01.02	10:30:00	4386.539	4396.535	4384.867	4393.669	3144	0	160
2026.01.02	10:45:00	4393.643	4398.562	4393.643	4396.070	2379	0	160
2026.01.02	11:00:00	4396.116	4397.981	4393.937	4395.043	1971	0	160
2026.01.02	11:15:00	4395.054	4399.384	4394.071	4394.356	2197	0	160
2026.01.02	11:30:00	4394.328	4395.746	4391.697	4395.030	2132	0	160
2026.01.02	11:45:00	4395.065	4395.634	4390.794	4392.919	2282	0	160
2026.01.02	12:00:00	4392.866	4397.312	4391.092	4395.366	2537	0	160
